NAME,total_pop,male_pop,female_pop,median_age,median_income,state,county,tract,male_percent,female_percent,mean_travel_time,total_commute,car_truck_van,car_truck_van_alone,car_truck_van_carpooled,public_transport,walked,bycicle
"Census Tract 4135, Allegheny County, Pennsylvania",6395,3308,3087,40,61416,42,3,413500,0.517279124,0.482720876,27.4,3441,90.8,83.9,6.9,2.2,2.3,0
"Census Tract 4141.01, Allegheny County, Pennsylvania",5394,2785,2609,45.2,89698,42,3,414101,0.516314423,0.483685577,28.2,3171,95.2,82.2,12.9,1.2,0,0
"Census Tract 4141.02, Allegheny County, Pennsylvania",7436,3402,4034,45.3,84184,42,3,414102,0.457504034,0.542495966,27.7,3635,91.2,86,5.2,2.8,0,0
"Census Tract 4142, Allegheny County, Pennsylvania",5642,2607,3035,45.6,73043,42,3,414200,0.462070188,0.537929812,26,2545,89.7,87.4,2.3,1.5,0.1,0
"Census Tract 4150.01, Allegheny County, Pennsylvania",4772,2352,2420,44.3,87596,42,3,415001,0.492875105,0.507124895,27.2,2329,89.9,83.2,6.7,0.5,2.9,0
"Census Tract 4150.02, Allegheny County, Pennsylvania",2515,1220,1295,50.1,92250,42,3,415002,0.485089463,0.514910537,26.6,1150,92.2,84.6,7.6,0,0,0
"Census Tract 4160, Allegheny County, Pennsylvania",1653,813,840,51.7,48750,42,3,416000,0.491833031,0.508166969,25.1,850,91.9,82,9.9,2.4,3.4,0
"Census Tract 4171, Allegheny County, Pennsylvania",2069,950,1119,50,53365,42,3,417100,0.459159014,0.540840986,27.8,1180,91.9,84.3,7.6,3.9,1.1,0
"Census Tract 4172, Allegheny County, Pennsylvania",1319,514,805,45.3,34055,42,3,417200,0.389689158,0.610310842,27.4,641,86.6,81.4,5.1,7.5,2.5,0
"Census Tract 4180, Allegheny County, Pennsylvania",1804,886,918,49.8,55321,42,3,418000,0.49113082,0.50886918,26.1,853,87.5,74.7,12.8,6.9,1.9,0
"Census Tract 4190, Allegheny County, Pennsylvania",3049,1363,1686,55.9,49643,42,3,419000,0.447031814,0.552968186,24.2,1329,88.7,78.1,10.6,5.1,0.7,0
"Census Tract 4200, Allegheny County, Pennsylvania",1670,847,823,36.8,39929,42,3,420000,0.507185629,0.492814371,25.2,826,81.4,75.1,6.3,8,5.7,0.8
"Census Tract 4211, Allegheny County, Pennsylvania",4188,2051,2137,49,72450,42,3,421100,0.489732569,0.510267431,23.9,1720,92.6,83.1,9.4,2.1,0.5,0
"Census Tract 4212, Allegheny County, Pennsylvania",4341,2176,2165,48.3,92051,42,3,421200,0.501266989,0.498733011,25,2275,91.2,82.5,8.7,1.7,0.7,0.4
"Census Tract 4220, Allegheny County, Pennsylvania",5392,2636,2756,48.8,148553,42,3,422000,0.488872404,0.511127596,25.3,1986,88,76.4,11.5,0,1.5,0.8
"Census Tract 4230, Allegheny County, Pennsylvania",2773,1271,1502,37.9,66108,42,3,423000,0.458348359,0.541651641,24.8,1430,87.3,75.4,11.9,5,3.9,1.2
"Census Tract 4240, Allegheny County, Pennsylvania",3421,1778,1643,42.7,32431,42,3,424000,0.519731073,0.480268927,22.9,1552,83.3,72.4,11,10.1,5.4,0
"Census Tract 4250, Allegheny County, Pennsylvania",3415,1776,1639,36.4,44615,42,3,425000,0.520058565,0.479941435,22.2,1855,88.7,78.9,9.8,5.7,3.5,0
"Census Tract 4263, Allegheny County, Pennsylvania",6151,2990,3161,44.2,77057,42,3,426300,0.486099821,0.513900179,27,3100,88.7,81.5,7.2,4.6,1.1,0.5
"Census Tract 4264, Allegheny County, Pennsylvania",4215,1995,2220,46.2,61680,42,3,426400,0.473309609,0.526690391,24.3,2480,93.3,83.5,9.8,0,2.1,0.8
